section_number,section_title,description,example_use_cases,punishment
369,"Kidnapping or abducting child under ten years with intent to steal from its person","This section punishes kidnapping or abducting a child under ten years of age with the intention of taking any property from the child's person.","Stealing a young child to take a gold necklace they are wearing.","Imprisonment up to 7 years, and fine"
370,"Trafficking of person","This section defines and punishes 'Trafficking'. It involves recruiting, transporting, harboring, transferring, or receiving a person for exploitation by using force, fraud, or inducement. Exploitation includes prostitution, forced labor, slavery, and organ removal.","Luring people with fake job offers and forcing them into labor; running a racket for illegal organ trade.","Imprisonment from 7 to 10 years, and fine (more severe for multiple victims, minors, etc.)"
370A,"Exploitation of a trafficked person","This section punishes a person for exploiting a trafficked person, knowing that such person has been trafficked.","Using a trafficked person as forced labor in a factory; running a brothel using trafficked women.","Punishment same as for trafficking under S.370"
371,"Habitual dealing in slaves","This section punishes habitually dealing in slaves, including importing, exporting, removing, buying, selling, or disposing of any person as a slave.","Being part of a network that regularly trades in people for forced labor.","Imprisonment for life, or imprisonment up to 10 years, and fine"
372,"Selling minor for purposes of prostitution, etc.","This section punishes selling, letting to hire, or otherwise disposing of any person under the age of eighteen years for the purpose of prostitution or illicit intercourse.","A parent sells their child to a brothel owner.","Imprisonment up to 10 years, and fine"
373,"Buying minor for purposes of prostitution, etc.","This section punishes buying, hiring, or otherwise obtaining possession of any person under the age of eighteen years for the purpose of prostitution or illicit intercourse.","A brothel owner purchases a minor girl.","Imprisonment up to 10 years, and fine"
374,"Unlawful compulsory labor","This section punishes unlawfully compelling any person to labor against their will.","Keeping bonded laborers; forcing someone to work to pay off a debt.","Imprisonment up to 1 year, or fine, or both"
375,"Rape","This section defines the offence of 'Rape'. It is the non-consensual sexual intercourse with a woman under various circumstances: against her will, without her consent, with consent obtained under fear/coercion/fraud/misconception, or when she is under 18 years of age.","Sexual assault; statutory rape (with a minor).","Punishment as per S.376"
376,"Punishment for rape","This section provides the punishment for the offence of rape. It includes enhanced punishment for certain circumstances like rape by police officer, on a pregnant woman, on a woman under 16, etc.","A person convicted of rape.","Rigorous imprisonment of not less than 10 years, which may extend to life imprisonment, and fine (In some cases, minimum 20 years or life imprisonment)"
376A,"Intercourse by a man with his wife during separation","This section punishes a man for having sexual intercourse with his own wife, who is living separately from him under a decree of separation or any custom or usage, without her consent.","A husband rapes his wife while they are legally separated.","Imprisonment up to 2 years, and fine"
376AB,"Rape on woman under twelve years of age","This section provides specific punishment for rape committed on a woman under twelve years of age.","Sexually assaulting a 10-year-old girl.","Rigorous imprisonment of not less than 20 years, which may extend to life imprisonment (meaning imprisonment for the remainder of natural life), and fine"
376B,"Sexual intercourse by husband upon his wife during separation","This section punishes a husband for having sexual intercourse with his wife without her consent while they are living separately under a judicial separation decree.","Similar to S.376A, but under specific separation circumstances.","Imprisonment from 2 to 7 years, and fine"
376C,"Sexual intercourse by a person in authority","This section punishes a person in authority (like a public servant, superintendent of a jail, hospital, etc.) for having sexual intercourse with a woman in their custody by using their position of authority.","A jailor sexually abuses a female inmate.","Rigorous imprisonment from 5 to 10 years, and fine"
376D,"Gang rape","This section punishes the offence of gang rape, where a woman is raped by one or more persons constituting a group acting in furtherance of a common intention.","A woman is raped by multiple men acting together.","Rigorous imprisonment of not less than 20 years, which may extend to life imprisonment (meaning imprisonment for the remainder of natural life), and fine"
376DA,"Gang rape on woman under sixteen years of age","This section provides specific punishment for gang rape committed on a woman under sixteen years of age.","Multiple men rape a 15-year-old girl.","Imprisonment for life (meaning imprisonment for the remainder of natural life), and fine"
376DB,"Gang rape on woman under twelve years of age","This section provides specific punishment for gang rape committed on a woman under twelve years of age.","Multiple men rape an 11-year-old girl.","Death, or imprisonment for life (meaning imprisonment for the remainder of natural life), and fine"
376E,"Punishment for repeat offenders","This section provides for enhanced punishment for a person who has been previously convicted for the offence of rape and is subsequently convicted of rape again.","A convicted rapist commits another rape after being released from prison.","Punishment of imprisonment for life (meaning imprisonment for the remainder of natural life), or death."
377,"Unnatural offences","This section punishes voluntary carnal intercourse against the order of nature with any man, woman, or animal. (Note: The application of this section to consensual acts between adults has been read down by the Supreme Court).","Non-consensual acts; bestiality.","Imprisonment for life, or imprisonment up to 10 years, and fine"
378,"Theft","This section defines the offence of 'Theft'. It involves dishonestly taking any movable property out of the possession of any person without their consent, with the intention of taking it dishonestly.","Stealing a phone; taking a bicycle without the owner's permission.","N/A (Interpretive - Element for S.379)"
379,"Punishment for theft","This section provides the punishment for the offence of theft, as defined in S.378.","A person is caught stealing a wallet.","Imprisonment up to 3 years, or fine, or both"
380,"Theft in dwelling house, etc.","This section provides enhanced punishment for theft committed in any building, tent, or vessel used as a human dwelling, or for the custody of property.","Burglary; stealing from inside someone's house.","Imprisonment up to 7 years, and fine"
381,"Theft by clerk or servant of property in possession of master","This section provides enhanced punishment for theft committed by a clerk or servant of property that was in the possession of their master or employer.","A shop employee steals from the cash register; a driver steals fuel from the employer's car.","Imprisonment up to 7 years, and fine"
382,"Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft","This section provides enhanced punishment for theft if the thief has made preparations to cause death, hurt, or restraint to any person in order to commit the theft, or to effect their escape after the theft.","A thief carries a weapon and is prepared to use it if confronted during a robbery.","Rigorous imprisonment up to 10 years, and fine"
383,"Extortion","This section defines 'Extortion'. It is intentionally putting any person in fear of injury to themselves or another, and thereby dishonestly inducing them to deliver any property or valuable security.","Blackmail; threatening to harm someone unless they pay money.","N/A (Interpretive - Element for S.384)"
384,"Punishment for extortion","This section provides the punishment for the offence of extortion, as defined in S.383.","A person is convicted of blackmail.","Imprisonment up to 3 years, or fine, or both"
385,"Putting person in fear of injury in order to commit extortion","This section punishes an attempt to commit extortion by putting any person in fear of injury.","Threatening someone with harm to extort money, even if the money is not paid.","Imprisonment up to 2 years, or fine, or both"
386,"Extortion by putting a person in fear of death or grievous hurt","This section provides enhanced punishment for extortion by putting a person in fear of death or grievous hurt.","Threatening to kill someone or break their legs unless they pay a ransom.","Imprisonment up to 10 years, and fine"
387,"Extortion by putting a person in fear of death or grievous hurt","This section punishes putting a person in fear of death or grievous hurt in order to commit extortion, even if the extortion is not completed.","Making a death threat to extort money, even if the victim doesn't comply.","Imprisonment up to 7 years, and fine"
388,"Extortion by threat of accusation of an offence punishable with death, etc.","This section punishes extortion by threatening to accuse another person of an offence punishable with death, life imprisonment, or imprisonment for up to 10 years.","Threatening to falsely accuse someone of murder unless they pay money.","Imprisonment up to 10 years, and fine"
389,"Putting person in fear of accusation of offence, in order to commit extortion","This section punishes putting a person in fear of an accusation of a serious offence in order to commit extortion, even if the extortion is not completed.","Threatening to file a false rape case unless paid money, even if the payment is not made.","Imprisonment up to 10 years, and fine"
390,"Robbery","This section defines 'Robbery'. In all robbery there is either theft or extortion. Theft becomes robbery if, to commit the theft or while carrying away property, the offender causes or attempts to cause death/hurt/wrongful restraint, or fear of instant death/hurt/restraint. Extortion is robbery if the offender is in the presence of the person put in fear and extorts by putting them in fear of instant hurt.","Snatching a purse and pushing the owner; mugging someone at knife-point.","N/A (Interpretive - Element for S.392)"
391,"Dacoity","This section defines 'Dacoity'. When five or more persons conjointly commit or attempt to commit a robbery, it is called dacoity.","A gang of five people carries out a bank heist.","N/A (Interpretive - Element for S.395)"
392,"Punishment for robbery","This section provides the punishment for the offence of robbery, as defined in S.390.","A person is convicted of mugging someone.","Rigorous imprisonment up to 10 years, and fine (If committed on highway between sunset and sunrise, imprisonment up to 14 years)"
393,"Attempt to commit robbery","This section punishes an attempt to commit robbery.","A person tries to snatch a chain but fails and is caught.","Rigorous imprisonment up to 7 years, and fine"
394,"Voluntarily causing hurt in committing robbery","This section punishes voluntarily causing hurt while committing or attempting to commit robbery. If several persons commit robbery and one causes hurt, all are guilty under this section.","A robber stabs the victim while snatching their wallet.","Imprisonment for life, or rigorous imprisonment up to 10 years, and fine"
395,"Punishment for dacoity","This section provides the punishment for the offence of dacoity, as defined in S.391.","A gang of five is convicted of a armed robbery.","Imprisonment for life, or rigorous imprisonment up to 10 years, and fine"
396,"Dacoity with murder","This section punishes dacoity if any one of the dacoits commits murder in the course of that dacoity. Every member of the gang is guilty of this offence.","During a bank robbery, one of the dacoits shoots and kills a guard.","Death, or Imprisonment for life, and fine"
397,"Robbery or dacoity, with attempt to cause death or grievous hurt","This section provides enhanced punishment for robbery or dacoity if, at the time of committing it, the offender uses a deadly weapon, or attempts to cause death or grievous hurt to any person.","Committing a robbery while brandishing a knife or gun.","Rigorous imprisonment for not less than 7 years"
398,"Attempt to commit robbery or dacoity when armed with deadly weapon","This section punishes an attempt to commit robbery or dacoity when the offender is armed with any deadly weapon.","Being caught while planning a robbery while carrying a firearm.","Rigorous imprisonment for not less than 7 years"
399,"Making preparation to commit dacoity","This section punishes making any preparation to commit dacoity.","A gang meets to plan a robbery, gathers weapons, and conducts reconnaissance.","Rigorous imprisonment up to 10 years, and fine"
400,"Punishment for belonging to gang of dacoits","This section punishes belonging to a gang of persons associated for the purpose of habitually committing dacoity.","Being a member of a notorious gang known for multiple robberies.","Imprisonment for life, or rigorous imprisonment up to 10 years, and fine"
401,"Punishment for belonging to gang of thieves","This section punishes belonging to a gang of persons associated for the purpose of habitually committing theft.","Being a member of a organized ring of pickpockets or burglars.","Rigorous imprisonment up to 7 years, and fine"
402,"Assembling for purpose of committing dacoity","This section punishes being one of five or more persons assembled for the purpose of committing dacoity.","A group of five people meet in a hideout with weapons, planning a robbery, but are arrested before they can execute it.","Rigorous imprisonment up to 7 years, and fine"
403,"Dishonest misappropriation of property","This section defines and punishes the offence of dishonest misappropriation of movable property. It involves converting another's property to one's own use, even if it came into one's possession legitimately, but without the right to do so.","Finding a lost wallet and using the money inside instead of trying to return it; a person mistakenly receives an extra change and keeps it dishonestly.","Imprisonment up to 2 years, or fine, or both"
404,"Dishonest misappropriation of property possessed by deceased person at the time of his death","This section punishes dishonest misappropriation of property that was in the possession of a deceased person at the time of their death. It is considered a violation of trust towards the deceased and their heirs.","A servant steals jewelry from the dead body of his master; a person takes the wallet of a man who just died in an accident.","Imprisonment up to 3 years, and fine (If offender was employed by the deceased, imprisonment up to 7 years and fine)"
405,"Criminal breach of trust","This section defines 'Criminal Breach of Trust'. It occurs when a person entrusted with property or dominion over property, dishonestly misappropriates, converts, uses, or disposes of that property in violation of law or legal contract.","A lawyer misusing a client's money; a partner siphoning funds from the business; a warehouse keeper selling stored goods.","N/A (Interpretive - Element for S.406)"
406,"Punishment for criminal breach of trust","This section provides the punishment for the general offence of criminal breach of trust, as defined in S.405.","A trustee dishonestly uses trust property for personal gain.","Imprisonment up to 3 years, or fine, or both"
407,"Criminal breach of trust by carrier, etc.","This section provides enhanced punishment for criminal breach of trust committed by a carrier, wharfinger, or warehouse-keeper. These persons are entrusted with goods for transportation or storage as part of their profession.","A truck driver sells the goods he was supposed to deliver; a warehouse owner steals the stored cargo.","Imprisonment up to 7 years, and fine"
408,"Criminal breach of trust by clerk or servant","This section provides enhanced punishment for criminal breach of trust committed by a clerk or servant. This targets employees who are entrusted with property by their employer.","An accountant embezzles company funds; a cashier steals from the shop's till.","Imprisonment up to 7 years, and fine"
409,"Criminal breach of trust by public servant, or by banker, merchant or agent","This section provides the most severe punishment for criminal breach of trust. It applies to public servants, bankers, merchants, factors (agents), brokers, attorneys, or other agents. It involves a high degree of trust.","A bank manager fraudulently diverts depositors' money; a government officer misuses public funds; a stockbroker misuses client shares.","Imprisonment for life, or imprisonment up to 10 years, and fine"
410,"Stolen property","This section defines the term 'Stolen Property' for the purposes of the following sections. It includes property obtained not only by theft but also by extortion, robbery, dacoity, and criminal misappropriation.","Property taken in a robbery; money extorted through blackmail.","N/A (Interpretive)"
411,"Dishonestly receiving stolen property","This section punishes dishonestly receiving or retaining stolen property, knowing or having reason to believe it is stolen property.","Buying a smartphone at a suspiciously low price, knowing it was likely stolen; holding onto a stolen bike for a friend.","Imprisonment up to 3 years, or fine, or both"
412,"Dishonestly receiving property stolen in the commission of a dacoity","This section provides enhanced punishment for receiving property that was stolen during the commission of a dacoity, knowing it to be such.","Knowingly buying jewelry that was taken in a violent bank heist carried out by a gang.","Imprisonment for life, or rigorous imprisonment up to 10 years, and fine"
413,"Habitually dealing in stolen property","This section punishes habitually receiving and dealing in stolen property. It targets fences who make a business of trading in stolen goods.","Running a pawn shop that is known to routinely accept and resell stolen goods.","Imprisonment for life, or imprisonment up to 10 years, and fine"
414,"Assisting in concealment or disposal of stolen property","This section punishes voluntarily assisting in concealing or disposing of stolen property, knowing it to be stolen.","Helping a thief hide stolen electronics in one's garage; selling a stolen car on behalf of the thief.","Imprisonment up to 3 years, or fine, or both"
415,"Cheating","This section defines the offence of 'Cheating'. It involves deceiving a person (fraudulently or dishonestly inducing them to deliver property, or to consent to retaining property) or intentionally inducing them to do or omit something which causes damage/harm.","Selling fake gold coins as real; tricking someone into signing a document.","N/A (Interpretive - Element for S.417)"
416,"Cheating by personation","This section defines 'Cheating by Personation'. It is a specific form of cheating where a person cheats by pretending to be some other person, or by knowingly substituting one person for another.","Impersonating someone else in an exam; pretending to be a government official to collect a bribe.","N/A (Interpretive - Element for S.419)"
417,"Punishment for cheating","This section provides the punishment for the general offence of cheating, as defined in S.415.","A person is convicted of a simple case of deception for gain.","Imprisonment up to 1 year, or fine, or both"
418,"Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect","This section punishes cheating where the offender knew that the act was likely to cause wrongful loss to a person whose interest they were bound, either by law or contract, to protect.","An agent cheats his principal; a lawyer cheats his client.","Imprisonment up to 3 years, or fine, or both"
419,"Punishment for cheating by personation","This section provides the punishment for the specific offence of cheating by personation, as defined in S.416.","A person is convicted of impersonating another to claim their benefit.","Imprisonment up to 3 years, or fine, or both"
420,"Cheating and dishonestly inducing delivery of property","This section provides enhanced punishment for cheating where the deception is dishonest and induces the victim to deliver any property or alter valuable security. This is the most commonly used section for serious fraud.","A Ponzi scheme operator cheats investors of large sums of money; forging documents to sell a property one doesn't own.","Imprisonment up to 7 years, and fine"
421,"Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors","This section punishes dishonestly or fraudulently removing, concealing, or transferring property to prevent it from being distributed among one's creditors as required by law.","A person on the verge of bankruptcy secretly transfers his assets to a relative to avoid paying debts.","Imprisonment up to 2 years, or fine, or both"
422,"Dishonestly or fraudulently preventing debt being available for creditors","This section punishes dishonestly or fraudulently preventing any debt or demand from being available for one's creditors.","A debtor colludes with a friend to fake the repayment of a loan to hide the money from other creditors.","Imprisonment up to 2 years, or fine, or both"
423,"Dishonest or fraudulent execution of deed of transfer containing false statement of consideration","This section punishes dishonestly or fraudulently signing or executing a deed or document related to the transfer of property that contains a false statement regarding the consideration (price) or the property itself.","Falsely stating a lower sale price on a property deed to evade stamp duty; misrepresenting the boundaries of a plot in a sale deed.","Imprisonment up to 2 years, or fine, or both"
424,"Dishonest or fraudulent removal or concealment of property","This section is a general provision that punishes dishonestly or fraudulently concealing or removing any property, or assisting in doing so. It is a broader version of S.421.","Hiding one's own property to avoid a court decree; helping someone else hide their assets.","Imprisonment up to 2 years, or fine, or both"
425,"Mischief","This section defines the offence of 'Mischief'. It involves intentionally causing the destruction of property, or any change that destroys or diminishes its value or utility, or causes damage.","Vandalizing a car; breaking windows; poisoning a cattle.","N/A (Interpretive - Element for S.426)"
426,"Punishment for mischief","This section provides the punishment for the general offence of mischief, as defined in S.425.","A person is convicted of minor vandalism.","Imprisonment up to 3 months, or fine, or both"
427,"Mischief causing damage to the amount of fifty rupees","This section provides enhanced punishment for mischief that causes damage or loss amounting to fifty rupees or more. (Note: The amount is symbolic; courts consider current value).","Causing significant damage to property worth more than a trivial amount.","Imprisonment up to 2 years, or fine, or both"
428,"Mischief by killing, poisoning, maiming or rendering useless any animal of the value of ten rupees","This section punishes mischief by killing, poisoning, maiming, or rendering useless any animal worth ten rupees or more. (Note: The amount is symbolic).","Poisoning a neighbor's dog; crippling a valuable horse.","Imprisonment up to 2 years, or fine, or both"
429,"Mischief by killing, poisoning, maiming or rendering useless any animal of the value of fifty rupees","This section provides enhanced punishment for the same acts as S.428 if the animal is worth fifty rupees or more, or is a camel, horse, etc.","Killing a cow; maiming an elephant.","Imprisonment up to 5 years, or fine, or both"
430,"Mischief by injury to works of irrigation or by wrongfully diverting water","This section punishes mischief by causing injury to any irrigation works, or wrongfully diverting water, thereby causing damage or loss.","Damaging a canal; illegally diverting water from a river to one's own field, depriving others.","Imprisonment up to 5 years, or fine, or both"
431,"Mischief by injury to public road, bridge, river or channel","This section punishes mischief by causing injury to any public road, bridge, navigable river, or channel, rendering it impassable or less safe for travel or transport.","Damaging a public bridge; blocking a navigable canal.","Imprisonment up to 5 years, or fine, or both"
432,"Mischief by causing inundation or obstruction to public drainage attended with damage","This section punishes mischief by causing an inundation (flood) or obstruction to any public drainage, where damage is caused.","Blocking a public drain, causing the area to flood.","Imprisonment up to 5 years, or fine, or both"
433,"Mischief by destroying, moving or rendering less useful a light-house or sea-mark","This section punishes mischief by destroying, moving, or diminishing the usefulness of any light-house or sea-mark used for navigation.","Tampering with a lighthouse lamp; removing a navigation buoy.","Imprisonment up to 7 years, or fine, or both"
434,"Mischief by destroying or moving, etc., a land-mark fixed by public authority","This section punishes mischief by destroying, moving, or defacing a land-mark (e.g., a survey marker, boundary stone) set up by public authority.","Removing a government boundary stone to claim more land.","Imprisonment up to 1 year, or fine, or both"
435,"Mischief by fire or explosive substance with intent to cause damage to amount of one hundred or (in case of agricultural produce) ten rupees","This section punishes mischief by fire or explosive substance intended to cause, or knowing it to be likely to cause, damage of one hundred rupees or more (or ten rupees for agricultural produce).","Arson of a building; setting fire to a crop.","Imprisonment up to 7 years, and fine"
436,"Mischief by fire or explosive substance with intent to destroy house, etc.","This section provides enhanced punishment for mischief by fire or explosive substance with the intention of destroying any building used as a human dwelling, or place of worship, etc.","Burning down someone's house; setting fire to a temple.","Imprisonment for life, or imprisonment up to 10 years, and fine"
437,"Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden","This section punishes mischief with the intention of destroying or rendering unsafe any decked vessel or a vessel of twenty tons burden.","Sabotaging a ship to make it sink.","Imprisonment up to 10 years, and fine"
438,"Punishment for the mischief described in section 437 committed by fire or any explosive substance","This section provides enhanced punishment for committing the mischief described in S.437 by means of fire or an explosive substance.","Setting fire to a ship to destroy it.","Imprisonment for life, or imprisonment up to 10 years, and fine"
439,"Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc.","This section punishes intentionally running a vessel aground or ashore with the intention of committing theft, criminal misappropriation, or dishonestly receiving stolen property from the vessel.","A ship's crew intentionally grounds the ship to loot its cargo.","Imprisonment up to 10 years, and fine"
440,"Mischief committed after preparation made for causing death or hurt","This section provides enhanced punishment for mischief if it is committed after preparation has been made for causing death, hurt, or restraint to any person to commit the mischief or to escape afterwards.","Preparing with weapons to commit arson, ready to attack anyone who tries to stop them.","Imprisonment up to 5 years, and fine"
441,"Criminal trespass","This section defines 'Criminal Trespass'. It involves entering or remaining on another's property with the intention to commit an offence, or to intimidate, insult, or annoy the person in possession of the property.","Entering someone's land to steal fruit; refusing to leave a house when asked, with intent to annoy.","N/A (Interpretive - Element for S.447)"
442,"House-trespass","This section defines 'House-Trespass'. It is a form of criminal trespass where the trespass involves entering or remaining in any building, tent, or vessel used as a human dwelling.","Entering someone's house through an open window with intent to annoy.","N/A (Interpretive - Element for S.448)"
443,"Lurking house-trespass","This section defines 'Lurking House-Trespass'. It is a form of house-trespass where the offender takes precautions to conceal themselves from the person entitled to exclude them.","Trespassing into a house by hiding in the shadows or sneaking in at night to avoid being seen.","N/A (Interpretive - Element for S.453)"
444,"Lurking house-trespass by night","This section defines 'Lurking House-Trespass by Night'. It is lurking house-trespass committed after sunset and before sunrise.","Sneaking into a house at night to commit a crime.","N/A (Interpretive - Element for S.456)"
445,"House-breaking","This section defines 'House-Breaking'. It is a more serious form of house-trespass committed by entering through a passage not intended for entrance, or by unfastening a lock, etc., or by using criminal force, or by entering when a passage is open but quitting through a different means.","Breaking a window to enter a house; picking a lock; climbing down a chimney.","N/A (Interpretive - Element for S.453, 454)"
446,"House-breaking by night","This section defines 'House-Breaking by Night'. It is house-breaking committed after sunset and before sunrise.","Breaking into a house at night.","N/A (Interpretive - Element for S.456, 457)"
447,"Punishment for criminal trespass","This section provides the punishment for the general offence of criminal trespass, as defined in S.441.","A person is convicted of entering another's property to annoy them.","Imprisonment up to 3 months, or fine up to Rs. 500, or both"
448,"Punishment for house-trespass","This section provides the punishment for the offence of house-trespass, as defined in S.442.","A person is convicted of illegally entering a dwelling.","Imprisonment up to 1 year, or fine up to Rs. 1000, or both"
449,"House-trespass in order to commit offence punishable with death","This section punishes house-trespass committed with the intention of committing an offence that is punishable with death.","Entering a house with the intention to murder someone inside.","Imprisonment for life, or rigorous imprisonment up to 10 years, and fine"
450,"House-trespass in order to commit offence punishable with imprisonment for life","This section punishes house-trespass committed with the intention of committing an offence that is punishable with imprisonment for life.","Entering a house with the intention to rape or grievously hurt someone inside.","Imprisonment up to 10 years, and fine"
451,"House-trespass in order to commit offence punishable with imprisonment","This section punishes house-trespass committed with the intention of committing an offence punishable with imprisonment.","Entering a house with the intention to commit theft or assault.","Imprisonment up to 2 years, and fine (If offence is theft, punishment is under S.454)"
452,"House-trespass after preparation for hurt, assault or wrongful restraint","This section punishes house-trespass committed after making preparation for causing hurt, assault, or wrongful restraint to any person.","Entering a house armed with a weapon, ready to attack the occupants if necessary.","Imprisonment up to 7 years, and fine"
453,"Punishment for lurking house-trespass","This section provides the punishment for the offence of lurking house-trespass, as defined in S.443.","Sneaking into a house and hiding to commit a crime.","Imprisonment up to 2 years, and fine"
454,"Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment","This section punishes lurking house-trespass or house-breaking committed with the intention of committing an offence punishable with imprisonment.","Sneaking into a house or breaking into it to commit theft.","Imprisonment up to 3 years, and fine (If offence is theft, punishment is under S.457, 458)"
455,"Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint","This section punishes lurking house-trespass or house-breaking committed after making preparation for causing hurt, assault, or wrongful restraint.","Breaking into a house at night while armed, prepared to use violence.","Imprisonment up to 10 years, and fine"
456,"Punishment for lurking house-trespass by night","This section provides the punishment for the offence of lurking house-trespass by night, as defined in S.444.","Sneaking into a house at night to commit a crime.","Imprisonment up to 3 years, and fine"
457,"Lurking house-trespass by night or house-breaking by night in order to commit offence punishable with imprisonment","This section punishes lurking house-trespass by night or house-breaking by night committed with the intention of committing an offence punishable with imprisonment.","Breaking into a house at night to commit theft.","Imprisonment up to 5 years, and fine"
458,"Lurking house-trespass by night or house-breaking by night after preparation for hurt, assault or wrongful restraint","This section punishes lurking house-trespass by night or house-breaking by night committed after making preparation for causing hurt, assault, or wrongful restraint.","Breaking into a house at night while armed with a weapon.","Imprisonment up to 14 years, and fine"
459,"Grievous hurt caused whilst committing lurking house-trespass or house-breaking","This section punishes causing grievous hurt to any person whilst committing lurking house-trespass or house-breaking.","While breaking into a house, the burglar attacks and seriously injures the homeowner.","Imprisonment for life, or imprisonment up to 10 years, and fine"
460,"All persons jointly concerned in lurking house-trespass or house-breaking by night punishable where death or grievous hurt caused by one of them","If multiple persons commit lurking house-trespass by night or house-breaking by night, and one of them causes death or grievous hurt, all are guilty of the offence described in this section.","During a night-time burglary, one accomplice kills a guard. All the burglars are liable under this section.","Death, or Imprisonment for life, or rigorous imprisonment up to 10 years, and fine"
461,"Dishonestly breaking open receptacle containing property","This section punishes dishonestly breaking open any closed receptacle (e.g., container, box, room) which contains or is believed to contain property.","Breaking open a locked cupboard to steal what is inside.","Imprisonment up to 2 years, or fine, or both"
462,"Punishment for same offence when committed by person entrusted with custody","This section provides enhanced punishment for the offence described in S.461 if it is committed by a person who was entrusted with the custody of the receptacle.","A warehouse keeper breaks open a sealed container he is supposed to guard.","Imprisonment up to 3 years, and fine"
463,"Forgery","This section defines the offence of 'Forgery'. It involves making a false document or electronic record (or part of one) with the intent to cause damage or injury, to support a claim or title, or to cause any person to part with property or enter into an express or implied contract.","Creating a fake degree certificate; altering a cheque.","N/A (Interpretive - Element for S.465)"
464,"Making a false document","This section defines what constitutes 'Making a false document' for the purpose of forgery. It includes signing a document in the name of another person without their authority, or altering a document without authority in a material way.","Signing a cheque in someone else's name; altering the amount on a will.","N/A (Interpretive)"
465,"Punishment for forgery","This section provides the punishment for the general offence of forgery, as defined in S.463.","A person is convicted of creating a fake identity card.","Imprisonment up to 2 years, or fine, or both"
466,"Forgery of record of Court or of public register, etc.","This section provides enhanced punishment for forgery of a document which is a record of a Court or a public register, or a state-issued document like a birth certificate.","Forging a court order; creating a fake entry in a land registry.","Imprisonment up to 7 years, and fine"
467,"Forgery of valuable security, will, etc.","This section provides enhanced punishment for forgery of a document which is a valuable security (e.g., promissory note), a will, or an authority to adopt a son.","Forging a share certificate; creating a fake will.","Imprisonment for life, or imprisonment up to 10 years, and fine"
468,"Forgery for purpose of cheating","This section punishes forgery committed for the purpose of cheating.","Creating a fake mark-sheet to get a job; forging a driver's license.","Imprisonment up to 7 years, and fine"
469,"Forgery for purpose of harming reputation","This section punishes forgery committed for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose.","Creating a fake letter that makes it seem like someone wrote something scandalous.","Imprisonment up to 3 years, and fine"
470,"Forged document","This section defines a 'Forged Document' as a document that is forged within the meaning of S.463.","A fake contract; an altered invoice.","N/A (Interpretive)"
471,"Using as genuine a forged document","This section punishes fraudulently or dishonestly using as genuine any forged document, knowing it to be forged.","Submitting a forged degree to an employer; presenting a forged cheque at a bank.","Punishment as for forgery of such document"
472,"Making or possessing counterfeit seal, etc., with intent to commit forgery","This section punishes making or counterfeiting any seal, plate, etc., or possessing such a counterfeit seal with the intention of committing forgery.","Creating a fake government stamp; possessing a forged company seal to make fake documents.","Punishment as for forgery (S.467) i.e., up to life imprisonment, and fine"
473,"Making or possessing counterfeit seal, etc., with intent to commit forgery punishable under section 467","This section provides enhanced punishment for making or possessing a counterfeit seal, etc., with the intention of committing a forgery that would be punishable under S.467 (forgery of valuable security, will).","Making a fake notary stamp to forge property deeds.","Imprisonment for life, or imprisonment up to 7 years, and fine"
474,"Having possession of document described in section 466 or 467, knowing it to be forged and intending to use it as genuine","This section punishes having possession of a forged document (of the type described in S.466 or S.467), knowing it to be forged and intending to use it as genuine.","Being in possession of a forged court decree, ready to use it in a lawsuit.","Imprisonment up to 7 years, and fine"
475,"Counterfeiting device or mark used for authenticating documents described in section 467, or possessing counterfeit marked material","This section punishes counterfeing any device or mark used for authenticating documents described in S.467, or possessing paper or other material with such a counterfeit mark.","Counterfeiting the special paper and watermark used for bank drafts.","Imprisonment for life, or imprisonment up to 7 years, and fine"
476,"Counterfeiting signature, etc., of a person with intent to commit forgery","This section punishes counterfeiting any signature, handwriting, etc., of a person with the intention of committing forgery.","Practicing and copying someone's signature to forge a cheque.","Imprisonment up to 7 years, and fine"
477,"Fraudulent cancellation, destruction, etc., of will, authority to adopt, or valuable security","This section punishes fraudulently or dishonestly cancelling, destroying, or defacing a will, authority to adopt, or valuable security, or attempting to do so.","Destroying a will that names someone else as the beneficiary; tearing up a promissory note owed to someone.","Imprisonment for life, or imprisonment up to 7 years, and fine"
477A,"Falsification of accounts","This section punishes a clerk, officer, or servant who destroys, alters, or falsifies any account book or document belonging to their employer, with intent to defraud.","An accountant cooking the books to embezzle money.","Imprisonment up to 7 years, or fine, or both"
478,"Trade Marks","[Repealed by the Trade Marks Act, 1999]","N/A","N/A"
479,"Property mark","This section defines a 'Property Mark'. It is a mark used to denote that movable property belongs to a particular person. It is different from a trademark, which denotes manufacture or quality.","A cattle brand; a mark on lumber to identify the owner.","N/A (Interpretive)"
480,"Using a false trade mark","[Repealed by the Trade Marks Act, 1999]","N/A","N/A"
